frame,packet_index_zero_based,timestamp_utc,relative_ms,usb_bus,usb_device,usbpcap_function_numeric,function_semantic_class,status,status_semantic,transfer_type,endpoint,direction,usbpcap_info,urb_stage,data_length,wrapper,a0_control,marker_operator_phase,interpretation,evidence_class
69,68,2026-08-22T20:56:43.717506Z,171.252,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
70,69,2026-08-22T20:56:43.718220Z,171.966,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,12,0xa0,0x82,VM_USB_ATTACH_BEGIN,bounded chip register read,OBSERVED
71,70,2026-08-22T20:56:43.719390Z,173.136,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xa6,VM_USB_ATTACH_BEGIN,bounded OTP/factory read,OBSERVED
72,71,2026-08-22T20:56:43.719971Z,173.717,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
73,72,2026-08-22T20:56:43.720266Z,174.012,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
74,73,2026-08-22T20:56:43.720771Z,174.517,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
75,74,2026-08-22T20:56:43.721170Z,174.916,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
76,75,2026-08-22T20:56:43.736881Z,190.627,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,72,0xa0,0xa6,VM_USB_ATTACH_BEGIN,bounded OTP/factory read,OBSERVED
77,76,2026-08-22T20:56:43.737643Z,191.389,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
78,77,2026-08-22T20:56:43.747073Z,200.819,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0xa2,VM_USB_ATTACH_BEGIN,sensor reset family,OBSERVED
79,78,2026-08-22T20:56:43.747946Z,201.692,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
80,79,2026-08-22T20:56:43.748028Z,201.774,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
81,80,2026-08-22T20:56:43.748844Z,202.590,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
82,81,2026-08-22T20:56:43.774850Z,228.596,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,11,0xa0,0xa2,VM_USB_ATTACH_BEGIN,sensor reset family,OBSERVED
83,82,2026-08-22T20:56:43.775800Z,229.546,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x70,VM_USB_ATTACH_BEGIN,set-mode idle,OBSERVED
84,83,2026-08-22T20:56:43.776818Z,230.564,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
85,84,2026-08-22T20:56:43.777248Z,230.994,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
86,85,2026-08-22T20:56:43.778860Z,232.606,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x01,COMPLETION,10,0xa0,0xb0,VM_USB_ATTACH_BEGIN,A0 transport ACK; echo/status metadata present,OBSERVED
87,86,2026-08-22T20:56:43.781768Z,235.514,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x81,DEVICE_TO_HOST,0x00,SUBMISSION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
88,87,2026-08-22T20:56:43.810522Z,264.268,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x00,SUBMISSION,64,0xa0,0x80,VM_USB_ATTACH_BEGIN,chip register write,OBSERVED
89,88,2026-08-22T20:56:43.819199Z,272.945,1,2,0x0009,BULK_OR_INTERRUPT_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,3:BULK,0x01,HOST_TO_DEVICE,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,bulk_or_interrupt_transfer with no captured data,OBSERVED
